Author,License,Name,URL,Version
Armin Ronacher,BSD License,Babel,https://babel.pocoo.org/,2.10.3
Armin Ronacher,BSD License,Flask,https://palletsprojects.com/p/flask,2.1.2
Twilio API Team,BSD License,Flask-RESTful,https://www.github.com/flask-restful/flask-restful/,0.3.9
Armin Ronacher,BSD License,Flask-SQLAlchemy,https://github.com/pallets/flask-sqlalchemy,2.5.1
Armin Ronacher,BSD License,Jinja2,https://palletsprojects.com/p/jinja/,3.1.2
Armin Ronacher,BSD License,MarkupSafe,https://palletsprojects.com/p/markupsafe/,2.1.1
Georg Brandl,BSD License,Pygments,https://pygments.org/,2.12.0
Mike Bayer,MIT License,SQLAlchemy,https://www.sqlalchemy.org,1.4.39
Georg Brandl,BSD License,Sphinx,https://www.sphinx-doc.org/,5.0.2
Armin Ronacher,BSD License,Werkzeug,https://palletsprojects.com/p/werkzeug/,2.1.2
Jeff Forcier,BSD License,alabaster,https://alabaster.readthedocs.io,0.7.12
Brandon Nielsen,BSD License,aniso8601,https://bitbucket.org/nielsenb/aniso8601,9.0.1
Hynek Schlawack,MIT License,attrs,https://www.attrs.org/,21.4.0
UNKNOWN,Apache Software License,bleach,https://github.com/mozilla/bleach,5.0.1
Christian Verkerk,MIT License,bump2version,https://github.com/c4urself/bump2version,1.0.1
Filip Noetzel,MIT License,bumpversion,https://github.com/peritus/bumpversion,0.6.0
Kenneth Reitz,Mozilla Public License 2.0 (MPL 2.0),certifi,https://github.com/certifi/python-certifi,2022.6.15
Ahmed TAHRI @Ousret,MIT License,charset-normalizer,https://github.com/ousret/charset_normalizer,2.1.0
Armin Ronacher,BSD License,click,https://palletsprojects.com/p/click/,8.1.3
"Bibek Kafle <bkafle662@gmail.com>, Roland Shoemaker <rolandshoemaker@gmail.com>",BSD License,commonmark,https://github.com/rtfd/commonmark.py,0.9.1
Ned Batchelder and 153 others,Apache Software License,coverage,https://github.com/nedbat/coveragepy,6.4.1
Vinay Sajip,Python Software Foundation License,distlib,https://bitbucket.org/pypa/distlib,0.3.4
David Goodger,BSD License; GNU General Public License (GPL); Public Domain; Python Software Foundation License,docutils,http://docutils.sourceforge.net/,0.18.1
UNKNOWN,MIT License,exceptiongroup,UNKNOWN,1.0.1
Benedikt Schmitt,Public Domain,filelock,https://github.com/tox-dev/py-filelock,3.7.1
