subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1990,,,1,1990,0.3439854926345602,0.4326406371004981,0.2660277250044154,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1991,,,1,1991,0.3439954252214565,0.4224243802730389,0.2742173359815049,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1992,,,1,1992,0.3440076891264281,0.4109432799900538,0.2836541337445964,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,0.3421052631578947,0.0303442927260459,1993,Senegal,DHS_1993,1,1993,0.3439623003463332,0.3967659494299545,0.2954887669800252,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1994,,,1,1994,0.3459818992585928,0.4089762151645825,0.2890636122766323,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1995,,,1,1995,0.3479219957134726,0.4181344190662953,0.285342022936184,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1996,,,1,1996,0.3498595755900842,0.4254031328436031,0.2832678750279027,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1997,,,1,1997,0.3517976855186751,0.4311188764978163,0.2824463926297751,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1998,,,1,1998,0.35373761745525,0.4355123622173109,0.2827935645879516,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1999,,,1,1999,0.3556803921023622,0.4386601230958822,0.2841523955954079,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2000,,,1,2000,0.357629325191918,0.4405582317684763,0.2864936286950195,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2001,,,1,2001,0.359587402195218,0.4411966605752802,0.2899018189140007,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2002,,,1,2002,0.361556950795463,0.4404635770959151,0.2943415317739571,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2003,,,1,2003,0.3635501747001374,0.4382149010687943,0.3000085014895287,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2004,,,1,2004,0.3655841554606344,0.4340576414276745,0.3071987234196901,2
