subgroup,state,modern_method,se.modern_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1990,,,1,1990,0.1516937348556143,0.2568682449071258,0.0848300991946864,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1991,,,1,1991,0.1517481209200639,0.2376841487456095,0.0932694990350104,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1992,,,1,1992,0.1518589937550719,0.2154715956233025,0.1047345560040876,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.1643835616438356,0.017603344657726,1993,Senegal,DHS_1993,1,1993,0.1519918212243761,0.1853938260390323,0.1239512522320884,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1994,,,1,1994,0.1555627330789591,0.2164946018021938,0.1095754213819828,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1995,,,1,1995,0.1592229159057758,0.238206208146622,0.1030349620001731,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1996,,,1,1996,0.163011860570545,0.2552457130023948,0.099808418103047,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1997,,,1,1997,0.1669332762348689,0.268666331552373,0.098718526470376,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1998,,,1,1998,0.1709911541193105,0.2789294339285918,0.0992717422084082,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1999,,,1,1999,0.1751895159627828,0.2862064788999732,0.1013164721035163,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2000,,,1,2000,0.1795325764573751,0.2904516954586668,0.1049114564343547,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2001,,,1,2001,0.1840245262678924,0.2914344128183765,0.1102688252580168,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2002,,,1,2002,0.1886695132915402,0.28867511619555,0.1178026319085999,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2003,,,1,2003,0.1934720886971922,0.2811915306855854,0.1284517146601418,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2004,,,1,2004,0.1984378251734114,0.2667910097935932,0.1443752267168218,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2030699971775608,0.0186452682268714,2005,Senegal,DHS_2005,1,2005,0.2036050768032049,0.2365646127286921,0.1742862190766732,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2006,,,1,2006,0.2085481284876648,0.2738838602919858,0.1556075188177086,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2007,,,1,2007,0.2136898419656684,0.2919394519221633,0.1519514326392787,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2008,,,1,2008,0.2189969281504431,0.2982861236562062,0.156013109907002,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2009,,,1,2009,0.2244673387153789,0.2924667548623,0.1683485464862198,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2193934408343848,0.0228436389855864,2010,Senegal,DHS_2010,1,2010,0.2299824836357878,0.2650888928557957,0.19833320605349,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2011,,,1,2011,0.2527489645880132,0.3131940574789936,0.2008005767725334,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3209452965802343,0.035365939510832,2012,Senegal,DHS_2012,1,2012,0.2767159312270124,0.3188493589608291,0.2399876594619064,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2013,,,1,2013,0.3052157203978314,0.3725062974921637,0.2463828016136611,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.359953981414482,0.0432039593490623,2014,Senegal,DHS_2014,1,2014,0.3353287126542758,0.379600035889752,0.2948071313144675,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3369460811523019,0.0368207711560529,2015,Senegal,DHS_2015,1,2015,0.345814654804864,0.3854038203012178,0.3080676930499628,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3288014836435239,0.0283868509590275,2016,Senegal,DHS_2016,1,2016,0.3714022846603543,0.4071602893133549,0.3361355085864295,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.4327232457387784,0.0237111219372654,2017,Senegal,DHS_2017,1,2017,0.4014848614639409,0.4334656993479648,0.3706653403126347,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3756600184128643,0.0242159637521157,2018,Senegal,DHS_2018,1,2018,0.3709253090926465,0.403582648529702,0.3390699812294805,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3426746430068728,0.0237043376467458,2019,Senegal,DHS_2019,1,2019,0.3769281016243907,0.4149335240990356,0.3389574993449518,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2020,,,1,2020,0.376119495982159,0.4706785749532854,0.289321114242744,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2021,,,1,2021,0.3756049620958865,0.504408360013091,0.2615820116804785,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2022,,,1,2022,0.375196063831067,0.5309586588769772,0.2409641796698741,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2023,,,1,2023,0.3748902273795828,0.5535052431967297,0.2242364612320252,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2024,,,1,2024,0.3746869267615163,0.5733836016530532,0.2101752776590092,2
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2025,,,1,2025,0.3745859798439955,0.591300692407331,0.1980478804920996,2
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1990,,,2,1990,0.0363820545321421,0.0790342449006621,0.0158765222358359,2
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1991,,,2,1991,0.0363740358309091,0.0735551570672191,0.0171486682229967,2
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1992,,,2,1992,0.0363591935104974,0.0678365419811088,0.0186808745447329,2
