subgroup,state,traditional_method,se.traditional_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1990,,,1,1990,0.065983403213425,0.1270249633653686,0.0321288602050284,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1991,,,1,1991,0.062443539257438,0.1147542149924489,0.0316211911312073,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0590306079054851,0.1048070146582119,0.0309289418541696,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.0643835616438356,0.0100531002046451,1993,Senegal,DHS_1993,1,1993,0.05950129508128,0.0800075017966479,0.0440256305688438,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1994,,,1,1994,0.0525647099667906,0.090041518128694,0.0290245205716256,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0495767176389748,0.0844620757295473,0.0278633107517949,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0467959661510629,0.0795586713100733,0.0265826853124059,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0442281751494211,0.0751622407160036,0.0252745736816209,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0418664444266876,0.071199210804497,0.0239797776684613,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0397025580829353,0.0675732143837571,0.0227464187821486,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0377253498832232,0.0642253148540859,0.0216215887895519,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2001,,,1,2001,0.0359269287393096,0.0611347156493449,0.0206270842226293,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0342990954259341,0.0582933263006012,0.0197469302703174,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0328360772521332,0.0557250893624532,0.0190053057990344,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0315346189922483,0.0533982640918807,0.018370636799972,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.0218402019902418,0.0067731296572653,2005,Senegal,DHS_2005,1,2005,0.0278918987996153,0.0379935274856608,0.0196280081591771,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2006,,,1,2006,0.02940814224287,0.0494208225626945,0.01740013895048,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0285673802847035,0.0477396786625939,0.0170609536152355,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0278580391777892,0.0462363616306663,0.016812758925508,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2009,,,1,2009,0.0272720204942535,0.0449049947671019,0.0166578036927948,4
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.0201418406605918,0.006886820660737,2010,Senegal,DHS_2010,1,2010,0.0207459033500428,0.028675611369713,0.0145955150646695,4
