subgroup,state,traditional_method,se.traditional_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0490087748652913,0.084253787282189,0.0308165783290358,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0491082409897123,0.0786950164720796,0.0327976153110517,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0492700461810244,0.0724325328316119,0.0351112750778902,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0605326876513317,0.0089634087615921,1993,Senegal,DHS_1993,1,1993,0.0496956850707642,0.0644650519776036,0.0378821530671939,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1994,,,1,1994,0.046607981062661,0.0669466188711652,0.0338859493326076,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0439749639984204,0.0669132228806748,0.0305391037182421,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0415571440843145,0.0655482572370483,0.0277513829321971,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1997,,,1,1997,0.039303526146354,0.0633234944841879,0.0254619902240317,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0371925119291569,0.060473986160864,0.0235688947138275,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0352039527760191,0.0571485605120019,0.0220475867194616,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0333288231621761,0.0534538470267497,0.0208339112596829,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2001,,,1,2001,0.031553600050147,0.0494629596887629,0.0198973836010961,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0298690372454261,0.0452435510975136,0.0192317899908006,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0282620423882815,0.0408208885190511,0.0188705382171794,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0267107853252642,0.0361764077848917,0.0189271494205297,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0207137194135324,0.0059334843983053,2005,Senegal,DHS_2005,1,2005,0.025129145088214,0.0312591585246976,0.0198472780347148,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2006,,,1,2006,0.0248425437447111,0.0328846634279026,0.0178165386925341,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0244697000126327,0.0333378911018497,0.0168848361170387,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0240767668310556,0.0328026714966413,0.0165720571411618,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2009,,,1,2009,0.0236644743655966,0.031325228647667,0.0168354729204006,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0172244995777813,0.005687729895683,2010,Senegal,DHS_2010,1,2010,0.0231717473438007,0.0288258796985045,0.0180244853018543,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2011,,,1,2011,0.0243600358238301,0.0313310756641461,0.0186364554825047,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0156776842556398,0.0060042200630275,2012,Senegal,DHS_2012,1,2012,0.0255709822797434,0.0317483711561298,0.0207905586828363,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2013,,,1,2013,0.0251197344330539,0.0328461947102752,0.0195638300400737,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0113133300965532,0.0059834905546906,2014,Senegal,DHS_2014,1,2014,0.0247553253587958,0.0310652329685216,0.0198575705706046,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0323887004187446,0.0088118780364486,2015,Senegal,DHS_2015,1,2015,0.0249635350515833,0.0310775189540968,0.0204730335754178,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0275654739931902,0.0094326328961473,2016,Senegal,DHS_2016,1,2016,0.0232045769082611,0.0285936274495928,0.0187565893045556,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0210964747253686,0.0044568428128585,2017,Senegal,DHS_2017,1,2017,0.0208462331461603,0.0254138691677243,0.0164785607424284,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0224957151253988,0.0075476200556799,2018,Senegal,DHS_2018,1,2018,0.0223412728391117,0.0277043417272067,0.0177637902940819,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,0.0038946253347144,0.0038474089343694,2019,Senegal,DHS_2019,1,2019,0.0236625058763948,0.0303306361243009,0.0186452544035749,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2020,,,1,2020,0.0235904086220676,0.0341286607373377,0.0167645253345137,1
Age 25+:UrbanRural urban,Africa:Senegal:Dakar,,,2021,,,1,2021,0.0235724963981152,0.0371733751865728,0.0154276131860308,1
