subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1990,,,1,1990,0.2890877270518495,0.3676435716051625,0.2218930552939981,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1991,,,1,1991,0.2888195472764373,0.3567387193846777,0.2295703326310888,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1992,,,1,1992,0.2882766972738502,0.3439059449719152,0.2385929391483341,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2821917808219178,0.0213862115051689,1993,Senegal,DHS_1993,1,1993,0.2873951749663184,0.3273433505715739,0.2505512509538512,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1994,,,1,1994,0.2900830129155191,0.3424830125635358,0.2430195470450344,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1995,,,1,1995,0.2924310133152249,0.3532426863739019,0.2387669025073545,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1996,,,1,1996,0.2945081816764643,0.3613008320192845,0.236310497273016,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1997,,,1,1997,0.2963122424637187,0.3671001123278961,0.2351035566083657,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1998,,,1,1998,0.2978407869524683,0.3709466487963267,0.2349626720349235,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,1999,,,1,1999,0.2990915580358844,0.3729004494882998,0.235754012210094,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2000,,,1,2000,0.3000630887058461,0.3729740981435018,0.2374616415858621,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2001,,,1,2001,0.3007546399809221,0.3710952873113244,0.2401569943499174,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2002,,,1,2002,0.3011667909122318,0.3670787631147251,0.2440316800921486,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2003,,,1,2003,0.3013019690566278,0.3605374712744763,0.2494111145898901,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2004,,,1,2004,0.301168394600226,0.3507351109861742,0.2570599418795394,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.3074592413771359,0.0203236584866606,2005,Senegal,DHS_2005,1,2005,0.3009308787793867,0.3349818596607618,0.2695336383453797,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2006,,,1,2006,0.2941982382406528,0.3397385215025909,0.2535492983719647,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2007,,,1,2007,0.2874577459235632,0.3370163491474156,0.2437021497897254,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2008,,,1,2008,0.2805568827635736,0.3292139512433735,0.2376649160783837,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2009,,,1,2009,0.2735032647234023,0.3164509091913731,0.2353365379214687,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2792019266733042,0.0206414551559676,2010,Senegal,DHS_2010,1,2010,0.2663108324615506,0.2964973743893797,0.2387652380809111,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2011,,,1,2011,0.2554672113219656,0.2920980110690741,0.2225499309003899,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2178334194917575,0.0270359751456038,2012,Senegal,DHS_2012,1,2012,0.2452084556662338,0.2767641546490393,0.2157043862633944,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2013,,,1,2013,0.2267339096083016,0.2614651440211135,0.1953739893228288,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.2199083993522081,0.0327155013779359,2014,Senegal,DHS_2014,1,2014,0.2094596965271417,0.2375165582434236,0.1835774795894343,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.194325889810479,0.0293070670447678,2015,Senegal,DHS_2015,1,2015,0.1940288822818403,0.2192320976040472,0.170534387846743,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.17347034580815,0.0196669829793728,2016,Senegal,DHS_2016,1,2016,0.1751820323229891,0.1969997959424382,0.1546916365503634,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.1277775747720826,0.0146711273566195,2017,Senegal,DHS_2017,1,2017,0.1623761169649302,0.1829429951881153,0.142903950389945,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.1380960788592659,0.0173740984885882,2018,Senegal,DHS_2018,1,2018,0.1595050954833556,0.1810414015136868,0.1395987765716634,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,0.1927329005823083,0.0217004170993446,2019,Senegal,DHS_2019,1,2019,0.1647700042988879,0.1899806584580382,0.1424501264713073,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2020,,,1,2020,0.165967218388384,0.2029396325682609,0.1346933570945816,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2021,,,1,2021,0.1669085246622116,0.2132047431108958,0.129205501950306,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2022,,,1,2022,0.1676611499103773,0.2221251452309996,0.1246648510544725,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2023,,,1,2023,0.1682258217873551,0.2300597419183856,0.1207249249041713,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2024,,,1,2024,0.1686018733990939,0.2372768372952599,0.1171199062655721,1
Age 25+:Parity 1+,Africa:Senegal:Dakar,,,2025,,,1,2025,0.1687888997257476,0.2438352785119538,0.113760317815666,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1990,,,2,1990,0.2343378546756043,0.3158431663581491,0.16773777540962,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1991,,,2,1991,0.2341764452031685,0.3075378224927563,0.1728894009968045,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1992,,,2,1992,0.2338471729074789,0.2984610613270074,0.1785332789092849,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,0.2170542635658914,0.0355186127171685,1993,Senegal,DHS_1993,2,1993,0.2332899724827038,0.288043638975224,0.185036691721078,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1994,,,2,1994,0.2356954274225957,0.2956997149224377,0.1834128977004694,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1995,,,2,1995,0.2378817428559555,0.3017117853543669,0.1827279548793038,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1996,,,2,1996,0.2399064800134909,0.3065303243414617,0.1826229381618223,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1997,,,2,1997,0.2417692581019012,0.3102186017425779,0.1830722407874505,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1998,,,2,1998,0.2434687483916232,0.3128415546379787,0.1840210828793343,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,1999,,,2,1999,0.2450033694069536,0.3143475220654874,0.1854422719369151,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2000,,,2,2000,0.2463722646138982,0.3147790789417711,0.1873488013169452,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2001,,,2,2001,0.2475752861245076,0.3140055658415568,0.1897915538569584,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2002,,,2,2002,0.2486132537608578,0.3120013599006027,0.192867734028448,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2003,,,2,2003,0.2494897685382563,0.308490775315874,0.1967199567971881,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2004,,,2,2004,0.2502119105201799,0.3032078848581023,0.2015821292044247,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,0.189668031761666,0.0339060185869922,2005,Senegal,DHS_2005,2,2005,0.2509138320609204,0.2953525216390252,0.2082005807055556,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2006,,,2,2006,0.2535916164208668,0.3032528121719334,0.2076109049400552,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2007,,,2,2007,0.2562703132923963,0.3075530504505501,0.2094630378361746,1
Age 25+:Parity 1+,Africa:Senegal:Sédhiou,,,2008,,,2,2008,0.2588097953611813,0.3085437876198245,0.2134944618040644,1
