subgroup,state,traditional_method,se.traditional_method,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1990,,,1,1990,0.0488203094856558,0.1491243362888202,0.0150606148014156,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1991,,,1,1991,0.0489113081940573,0.1305430679840667,0.0175359231044441,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1992,,,1,1992,0.0490934806619578,0.1115455175591977,0.0208932994715927,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,0.0473684210526315,0.016905013100019,1993,Senegal,DHS_1993,1,1993,0.0494550547773052,0.0911100019756929,0.0258961900279582,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1994,,,1,1994,0.0452245438369135,0.0988138581321355,0.0200133737161437,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1995,,,1,1995,0.0415486455266508,0.1016839213084775,0.0161469996703299,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1996,,,1,1996,0.0382506821477692,0.1013348613585765,0.0134568618082084,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1997,,,1,1997,0.0352652825012519,0.0987421647959189,0.0115033914300765,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1998,,,1,1998,0.0325529994875077,0.0943986722512062,0.0100696761735423,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,1999,,,1,1999,0.0300793865189066,0.0888757001782359,0.0090026306807126,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2000,,,1,2000,0.0278174708651447,0.0824181468304904,0.0082071785945247,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2001,,,1,2001,0.025744111044279,0.0753733080350596,0.0076327753539972,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2002,,,1,2002,0.0238335476502623,0.0679495619179998,0.0072571016121915,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2003,,,1,2003,0.0220659744618985,0.0604484895378696,0.0070565036812533,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2004,,,1,2004,0.0204140579050658,0.0531595045516842,0.0070546534594811,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,0.0,0.0,2005,Senegal,DHS_2005,1,2005,0.018823304193232,0.0462134975295798,0.0073252551449359,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2006,,,1,2006,0.0188694822008479,0.0473990106678345,0.0069080028103742,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2007,,,1,2007,0.0188735788118717,0.0472960645795931,0.0068393598917416,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2008,,,1,2008,0.0188661017271897,0.0457951459438159,0.0070928746184045,2
Age 15-24:Parity 1+,Africa:Senegal:Dakar,,,2009,,,1,2009,0.018842892504571,0.0428728577831685,0.0077492772473077,2
