subgroup,state,unmet_need,se.unmet_need,year,country,survey,dist.id,period.id,pred,pred_upper,pred_lower,model
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1990,,,1,1990,0.2730192127799994,0.3664991620247196,0.1969124701260557,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1991,,,1,1991,0.2726685262172166,0.3546315867052876,0.2044602207362069,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1992,,,1,1992,0.2719509935375742,0.3408269711089218,0.2130506816987819,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,0.2631578947368421,0.0275514710594157,1993,Senegal,DHS_1993,1,1993,0.2707703112465286,0.3237148445372237,0.2237467715513245,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1994,,,1,1994,0.2743542704928261,0.3395974149759618,0.2181535337572822,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1995,,,1,1995,0.2774666517188389,0.3517074089646685,0.2149159235336624,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1996,,,1,1996,0.2802172922846624,0.3612893217873512,0.2130274259975871,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1997,,,1,1997,0.2826013591539211,0.3687005783360545,0.212123610229277,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1998,,,1,1998,0.2846133892864816,0.3741216653602933,0.2119610453637938,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,1999,,,1,1999,0.2862477608268293,0.3777450155466132,0.21244346186102,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2000,,,1,2000,0.2875026371988525,0.3795232072968378,0.213560608496398,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2001,,,1,2001,0.2883748908761157,0.3794356227281792,0.2153074675556235,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2002,,,1,2002,0.2888657685861047,0.3775079248025364,0.2177281324970213,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2003,,,1,2003,0.2889772409170622,0.3734925880395464,0.2209195023551998,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2004,,,1,2004,0.2887172723980623,0.3672023371423238,0.2251178463756228,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,0.3703743820509143,0.0587010759934896,2005,Senegal,DHS_2005,1,2005,0.2882793120563721,0.3580947226680861,0.2309909901971086,2
Age 25+:UrbanRural rural,Africa:Senegal:Dakar,,,2006,,,1,2006,0.2753829469283483,0.3471520256330721,0.2170639694263044,2
